ID,TARGET
2,0.017315181029555374
5,0.08493161532951538
6,0.0028011828463215486
7,0.021943298043621905
9,0.0028011828463215486
11,0.1953641276111485
12,0.007121974988016267
15,0.11055999168111423
16,0.01135874683913916
17,0.024184611910013004
19,0.02827012600495995
21,0.0011286737863852017
22,0.013789955728726648
24,0.01333594243514586
27,0.000902653502624067
28,0.002041748169549032
30,0.059646984109868156
33,0.001822817871664159
35,0.01333594243514586
37,0.019288877183776157
38,0.016839571107327186
40,0.18092070672130628
41,0.017073191799269864
44,0.00030559560532773025
46,0.08394955785242476
47,0.0030849895790811066
48,0.001822817871664159
50,0.001822817871664159
52,0.18801170866972008
53,0.017073191799269864
55,0.031693739176829355
57,7.872432034384897e-05
58,0.004374992509353761
59,0.017073191799269864
62,0.009478443998198896
63,0.01333594243514586
64,0.028572928789301996
65,0.035834629641100874
67,0.024574097828402575
69,0.0213790677676374
70,0.001822817871664159
71,0.0
72,5.798993737861332e-05
73,0.00021831574349423649
76,0.007296155746424945
78,1.779359430604982e-05
79,0.010787993060521665
81,2.1233815414577844e-05
85,0.01333594243514586
86,0.001822817871664159
89,0.03910441649475967
94,0.04289446673819485
96,0.001822817871664159
97,0.010730286268476512
98,0.00561965113135623
99,0.021943298043621905
100,0.26765466143546235
103,0.17907373000365628
104,0.001822817871664159
108,0.0069199345913759395
110,1.5379883112888342e-06
112,0.027415086031978158
114,0.017073191799269864
116,0.003143672100532663
117,0.023159350906591988
119,4.545454545454545e-05
120,0.004685853634013869
121,0.0
123,0.005498024379740348
124,0.03910441649475967
126,1.5379883112888342e-06
128,0.01743234330018857
129,0.03722005387792285
133,0.04090918176945131
138,0.026801958822576334
147,0.017073191799269864
149,0.0
158,0.001822817871664159
160,0.010486498326135199
164,0.04976800617084596
167,0.02710384571770473
168,0.0012441464421004062
174,0.010486498326135199
181,0.029663723042995627
185,0.047564972267902995
187,3.884978722902294e-05
189,0.0049672668380257206
190,0.042565743426433454
194,0.0028309031737261694
197,0.0007073954983922829
198,0.021943298043621905
201,0.13749049177509584
205,0.001949520128269187
208,0.24337230166187904
211,0.01333594243514586
216,0.06741525323130794
219,0.08232448453263749
223,7.484765353222553e-05
224,0.17907373000365628
226,0.017073191799269864
229,0.020796593795078658
230,0.016209601606713194
237,0.07845029413533913
238,0.021943298043621905
240,0.07749836328503804
243,4.608342453570245e-05
245,0.20897575494417595
246,0.25270544332371453
247,0.00016443872535411367
248,0.0005027003829589434
249,0.001822817871664159
250,0.19521846579443702
251,1.5379883112888342e-06
255,0.009859761893020293
256,0.042138721246142825
257,0.07900955060695143
260,0.21737050814128106
261,3.884978722902294e-05
263,0.18999906278493411
264,0.14038054345706588
267,0.005461292774059495
268,0.06935618989255359
